id_course,heure_depart,distance_km,pluie,jour_semaine,vehicule_type,retard
1117,16:30,8,non,jeudi,camion,non
1118,12:30,167,non,mardi,camionnette,oui
1119,08:30,162,non,jeudi,camionnette,oui
1120,17:30,87,oui,lundi,camionnette,oui
1121,13:15,197,non,vendredi,fourgon,oui
1122,16:45,91,oui,jeudi,camionnette,oui
1123,08:45,59,non,mercredi,camionnette,non
1124,10:30,147,oui,vendredi,camion,oui
1125,07:15,189,non,jeudi,fourgon,oui
1126,18:15,181,non,jeudi,camionnette,oui
1127,18:00,28,non,mardi,camionnette,non
1128,17:15,83,non,jeudi,fourgon,oui
1129,14:30,113,non,mercredi,fourgon,oui
1130,13:30,83,non,mardi,camion,non
1131,17:15,85,oui,vendredi,fourgon,oui
1132,08:15,60,non,mercredi,fourgon,non
1133,15:30,30,oui,mercredi,camion,non
1134,11:15,82,oui,vendredi,camion,oui
1135,10:00,18,non,mardi,fourgon,non
1136,18:45,31,oui,vendredi,camionnette,oui
1137,13:45,117,non,mardi,camion,oui
1138,10:45,34,oui,jeudi,camionnette,non
1139,07:00,43,oui,vendredi,camionnette,non
1140,07:15,35,non,vendredi,fourgon,non
1141,18:15,138,non,jeudi,camionnette,oui
1142,10:45,83,oui,vendredi,fourgon,oui
1143,07:15,165,oui,mercredi,fourgon,oui
1144,07:15,66,oui,vendredi,camion,oui
1145,08:00,109,non,vendredi,camionnette,oui
1146,10:00,64,non,mercredi,fourgon,non
1147,13:00,180,oui,mercredi,fourgon,oui
1148,15:15,113,oui,vendredi,camion,oui
1149,16:15,73,oui,lundi,camion,oui
